id,stim,stim_type,freq
1,banda,target_a,5.297430015
2,baza,target_a,3.437750563
3,braza,target_a,2.871572936
4,caña,target_a,4.384675923
5,cepa,target_a,3.982768577
6,cigarra,target_a,3.139249218
7,cinta,target_a,4.751525442
8,coca,target_a,4.293450952
9,cochinilla,target_a,2.835056102
10,correa,target_a,3.916559219
11,costa,target_a,5.029420306
12,cota,target_a,3.783832143
13,cuaderna,target_a,2.403120521
14,cuba,target_a,4.239599752
15,cuenca,target_a,4.462502815
16,fauna,target_a,4.284859177
17,foca,target_a,3.470851325
18,fonda,target_a,3.230193379
19,gimnasia,target_a,3.910784435
20,gotera,target_a,3.188928484
21,grama,target_a,3.339252634
22,libreta,target_a,4.063333359
23,loma,target_a,3.731185708
24,moda,target_a,5.053777364
25,plata,target_a,4.97701902
26,plaza,target_a,5.024136614
27,puerta,target_a,5.401031578
28,pulpa,target_a,3.742882171
29,pupila,target_a,3.795462894
30,rama,target_a,4.765266106
31,rodilla,target_a,4.601701551
32,rótula,target_a,2.960470778
33,rumba,target_a,3.661623409
34,sátira,target_a,3.582631439
35,seta,target_a,3.541204691
36,sigla,target_a,4.53766801
37,solana,target_a,2.930439595
38,tina,target_a,3.533263517
39,tormenta,target_a,4.613313161
40,trompa,target_a,3.835563752
41,tuba,target_a,2.635483747
42,zapata,target_a,3.21005085
1,bando,target_o,4.28189655
2,bazo,target_o,3.3872118
3,brazo,target_o,4.724013575
4,caño,target_o,3.710709566
5,cepo,target_o,3.390935107
6,cigarro,target_o,4.008046306
7,cinto,target_o,3.188928484
8,coco,target_o,4.260238392
9,cochinillo,target_o,2.731588765
10,correo,target_o,5.364800432
11,costo,target_o,5.292497525
12,coto,target_o,3.650210355
13,cuaderno,target_o,4.31202918
14,cubo,target_o,4.05380806
15,cuenco,target_o,3.38774566
16,fauno,target_o,2.836956737
17,foco,target_o,4.51771041
18,fondo,target_o,5.189501543
19,gimnasio,target_o,4.355432362
20,gotero,target_o,2.891537458
21,gramo,target_o,4.410338501
22,libreto,target_o,3.756407873
23,lomo,target_o,4.009578361
24,modo,target_o,5.588809339
25,plato,target_o,4.872360256
26,plazo,target_o,5.338767162
27,puerto,target_o,4.929439363
28,pulpo,target_o,3.696880372
29,pupilo,target_o,3.55291145
30,ramo,target_o,4.313318735
31,rodillo,target_o,3.519959181
32,rótulo,target_o,3.700530657
33,rumbo,target_o,4.765057282
34,sátiro,target_o,2.865103975
35,seto,target_o,2.961421094
36,siglo,target_o,5.532122218
37,solano,target_o,2.584331224
38,tino,target_o,3.428458774
39,tormento,target_o,3.870052582
40,trompo,target_o,3.307496038
41,tubo,target_o,4.535319443
42,zapato,target_o,4.752447969
1,etapa,control_a,5.295105073
2,popa,control_a,3.517195898
3,tiara,control_a,2.904715545
4,lema,control_a,4.379196704
5,aura,control_a,3.971461405
6,arcada,control_a,3.134495856
7,magia,control_a,4.69317274
8,cuna,control_a,4.298350838
9,monserga,control_a,2.774516966
10,fobia,control_a,3.91824009
11,letra,control_a,5.209622235
12,musa,control_a,3.76908179
13,algarada,control_a,2.404833717
14,urna,control_a,4.266842949
15,comuna,control_a,4.464459739
16,falda,control_a,4.26651392
17,lira,control_a,3.485011215
18,paria,control_a,3.205204364
19,catarata,control_a,3.88541777
20,alpaca,control_a,3.169674434
21,sarta,control_a,3.391464412
22,brigada,control_a,4.04289039
23,lupa,control_a,3.73351825
24,caja,control_a,5.026676235
25,pieza,control_a,5.070111783
26,deuda,control_a,5.16253454
27,cabeza,control_a,5.49382597
28,rampa,control_a,3.72916479
29,flauta,control_a,3.809088131
30,aula,control_a,4.73677087
31,esfera,control_a,4.61296389
32,sonata,control_a,3.02201574
33,balsa,control_a,3.686636269
34,proeza,control_a,3.649529566
35,duna,control_a,3.509471352
36,selva,control_a,4.514189013
37,picota,control_a,2.989449818
38,arpa,control_a,3.56761444
39,criatura,control_a,4.65617489
40,tarima,control_a,3.810837151
41,tila,control_a,2.80888587
42,canica,control_a,3.22063102
1,circo,control_o,4.291701771
2,dolo,control_o,3.56431091
3,polvo,control_o,4.759146378
4,yeso,control_o,3.698796252
5,olmo,control_o,3.359645793
6,pleito,control_o,3.989583289
7,junco,control_o,3.20790353
8,ocio,control_o,4.291235611
9,mendrugo,control_o,2.72916479
10,ritmo,control_o,5.08409704
11,metro,control_o,5.240379491
12,lino,control_o,3.6834073
13,trayecto,control_o,4.302265975
14,nodo,control_o,4.048597158
15,edicto,control_o,3.396199347
16,abeto,control_o,2.958085849
17,jugo,control_o,4.50900079
18,fuego,control_o,5.14252712
19,espectro,control_o,4.382287266
20,capazo,control_o,2.880241776
21,trigo,control_o,4.419493135
22,pantano,control_o,3.753123245
23,cono,control_o,3.98980565
24,lado,control_o,5.59456159
25,ruido,control_o,4.82145457
26,cielo,control_o,5.305273964
27,teatro,control_o,4.971646882
28,ocaso,control_o,3.68717211
29,racimo,control_o,3.557867962
30,rito,control_o,4.33004833
31,retazo,control_o,3.514547753
32,tracto,control_o,3.754959588
33,barco,control_o,4.798049536
34,sobaco,control_o,2.80071708
35,tamo,control_o,2.86332286
36,miedo,control_o,5.446802695
37,cedazo,control_o,2.61595005
38,tufo,control_o,3.061075324
39,orificio,control_o,3.86207172
40,legajo,control_o,3.264109156
41,pozo,control_o,4.504498048
42,espejo,control_o,4.74671202
1,lunda,distractor_a,0
2,rava,distractor_a,0
3,fraña,distractor_a,0
4,maba,distractor_a,0
5,cina,distractor_a,0
6,cidicha,distractor_a,0
7,custa,distractor_a,0
8,moga,distractor_a,0
9,cotlericha,distractor_a,0
10,miplea,distractor_a,0
11,masta,distractor_a,0
12,tofa,distractor_a,0
13,cualarsa,distractor_a,0
14,miba,distractor_a,0
15,ciesca,distractor_a,0
16,faira,distractor_a,0
17,gona,distractor_a,0
18,lenda,distractor_a,0
19,gosdasia,distractor_a,0
20,folena,distractor_a,0
21,prasa,distractor_a,0
22,jiplena,distractor_a,0
23,fopa,distractor_a,0
24,pona,distractor_a,0
25,brada,distractor_a,0
26,fraja,distractor_a,0
27,pianta,distractor_a,0
28,punra,distractor_a,0
29,mubala,distractor_a,0
30,sasa,distractor_a,0
31,dogalla,distractor_a,0
32,doduza,distractor_a,0
33,rimpa,distractor_a,0
34,madara,distractor_a,0
35,leca,distractor_a,0
36,rifra,distractor_a,0
37,dorina,distractor_a,0
38,ripa,distractor_a,0
39,borbanta,distractor_a,0
40,trimba,distractor_a,0
41,tija,distractor_a,0
42,farana,distractor_a,0
1,fendo,distractor_o,0
2,laño,distractor_o,0
3,plavo,distractor_o,0
4,pafo,distractor_o,0
5,cijo,distractor_o,0
6,cipicho,distractor_o,0
7,micto,distractor_o,0
8,pojo,distractor_o,0
9,cotlecirro,distractor_o,0
10,mecheo,distractor_o,0
11,cucto,distractor_o,0
12,poño,distractor_o,0
13,cusbarno,distractor_o,0
14,puco,distractor_o,0
15,caisco,distractor_o,0
16,fiemo,distractor_o,0
17,rono,distractor_o,0
18,vindo,distractor_o,0
19,fulnasio,distractor_o,0
20,fomero,distractor_o,0
21,crano,distractor_o,0
22,biclero,distractor_o,0
23,rono,distractor_o,0
24,tofo,distractor_o,0
25,flada,distractor_o,0
26,glajo,distractor_o,0
27,pausto,distractor_o,0
28,pusbo,distractor_o,0
29,murila,distractor_o,0
30,tago,distractor_o,0
31,sopallo,distractor_o,0
32,dosumo,distractor_o,0
33,runzo,distractor_o,0
34,pasino,distractor_o,0
35,redo,distractor_o,0
36,tifro,distractor_o,0
37,tonaco,distractor_o,0
38,sica,distractor_o,0
39,tonranto,distractor_o,0
40,tropso,distractor_o,0
41,buño,distractor_o,0
42,zaniro,distractor_o,0