id,target_a,target_o,control_a,control_o,distractor_a,distractor_o
1,banda,bando,etapa,circo,lunda,fendo
2,baza,bazo,popa,dolo,rava,laño
3,braza,brazo,tiara,polvo,fraña,plavo
4,caña,caño,lema,yeso,maba,pafo
5,cepa,cepo,aura,olmo,cina,cijo
6,cigarra,cigarro,arcada,pleito,cidicha,cipicho
7,cinta,cinto,magia,junco,custa,micto
8,coca,coco,cuna,ocio,moga,pojo
9,cochinilla,cochinillo,monserga,mendrugo,cotlericha,cotlecirro
10,correa,correo,fobia,ritmo,miplea,mecheo
11,costa,costo,letra,metro,masta,cucto
12,cota,coto,musa,lino,tofa,poño
13,cuaderna,cuaderno,algarada,trayecto,cualarsa,cusbarno
14,cuba,cubo,urna,nodo,miba,puco
15,cuenca,cuenco,comuna,edicto,ciesca,caisco
16,fauna,fauno,falda,abeto,faira,fiemo
17,foca,foco,lira,jugo,gona,rono
18,fonda,fondo,paria,fuego,lenda,vindo
19,gimnasia,gimnasio,catarata,espectro,gosdasia,fulnasio
20,gotera,gotero,alpaca,capazo,folena,fomero
21,grama,gramo,sarta,trigo,prasa,crano
22,libreta,libreto,brigada,pantano,jiplena,biclero
23,loma,lomo,lupa,cono,fopa,rono
24,moda,modo,caja,lado,pona,tofo
25,plata,plato,pieza,ruido,brada,flada
26,plaza,plazo,deuda,cielo,fraja,glajo
27,puerta,puerto,cabeza,teatro,pianta,pausto
28,pulpa,pulpo,rampa,ocaso,punra,pusbo
29,pupila,pupilo,flauta,racimo,mubala,murila
30,rama,ramo,aula,rito,sasa,tago
31,rodilla,rodillo,esfera,retazo,dogalla,sopallo
32,rótula,rótulo,sonata,tracto,doduza,dosumo
33,rumba,rumbo,balsa,barco,rimpa,runzo
34,sátira,sátiro,proeza,sobaco,madara,pasino
35,seta,seto,duna,tamo,leca,redo
36,sigla,siglo,selva,miedo,rifra,tifro
37,solana,solano,picota,cedazo,dorina,tonaco
38,tina,tino,arpa,tufo,ripa,sica
39,tormenta,tormento,criatura,orificio,borbanta,tonranto
40,trompa,trompo,tarima,legajo,trimba,tropso
41,tuba,tubo,tila,pozo,tija,buño
42,zapata,zapato,canica,espejo,farana,zaniro